trial_uid,binary_success_label,start_year,phase_numeric,is_phase_1_2_combined,num_arms,is_randomized,is_multi_center,country_count,is_multi_country,intervention_type,is_combination_therapy,sponsor_type,sponsor_trial_count_total,sponsor_trial_count_last_5y,sponsor_success_rate_historical,is_top_10_sponsor,target_primary,target_category,target_trial_count_total,target_trial_count_last_5y,target_success_rate_historical,is_novel_target
NCT01897454,0,2013,2,0,NA,0,0,1,0,DRUG,1,unknown,0,0,NA,0,fluorouracil,drug,10,0,1,0
NCT01897636,NA,2013,NA,NA,NA,0,0,1,0,PROCEDURE,0,academic,0,0,NA,0,eus guided fine needle injection of dcs vaccinations,procedure,0,0,NA,1
NCT01898741,NA,2013,2,0,NA,0,0,1,0,RADIATION,0,unknown,1,1,NA,0,24 gy in 3 fractions,radiation,0,0,NA,1
NCT01900327,0,2013,3,0,NA,0,0,1,0,RADIATION,1,unknown,0,0,NA,0,external beam radiation,radiation,0,0,NA,1
NCT01903083,1,2013,1,0,NA,0,0,1,0,DRUG,1,unknown,1,1,1,0,tadalafil,drug,0,0,NA,1
NCT01905150,NA,2013,2,0,NA,0,0,1,0,DRUG,1,unknown,0,0,NA,0,g flip,drug,0,0,NA,1
NCT01908478,NA,2013,1,0,NA,0,0,1,0,DRUG,1,academic,0,0,NA,0,veliparib,drug,0,0,NA,1
NCT01911416,0,2013,NA,NA,NA,0,0,1,0,DRUG,0,academic,1,1,NA,0,lde225,drug,0,0,NA,1
NCT01918644,NA,2013,1,0,NA,0,0,1,0,RADIATION,1,academic,0,0,NA,0,stereotactic body radiation therapy,radiation,0,0,NA,1
NCT01921751,0,2013,2,0,NA,0,0,1,0,RADIATION,1,unknown,2,1,0,0,low intensity radiation therapy,radiation,0,0,NA,1
NCT01926197,NA,2013,3,0,NA,0,0,2,1,DRUG,1,academic,3,2,0,0,oxaliplatin,drug,5,1,0.5,0
NCT01928394,NA,2024,1,0,NA,0,0,1,0,DRUG,0,big_pharma,3,0,NA,0,opdivo 10 mg ml concentrate for solution for infusion,drug,0,0,NA,1
NCT01929915,NA,2013,NA,NA,NA,0,0,1,0,PROCEDURE,1,academic,2,1,NA,0,epidural patient controlled analgesia,procedure,0,0,NA,1
NCT01934634,NA,2013,1,0,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,lcl161,drug,0,0,NA,1
NCT01940237,0,2013,NA,NA,NA,0,0,1,0,BEHAVIORAL,0,academic,0,0,NA,0,psychotherapy,behavioral,0,0,NA,1
NCT01945879,1,2013,1,0,NA,0,0,1,0,DRUG,0,unknown,3,3,1,0,enoxaparine,drug,0,0,NA,1
NCT01946646,0,2013,1,0,NA,0,0,1,0,DRUG,0,academic,2,1,NA,0,s 1 ccrt,drug,0,0,NA,1
NCT01954732,0,2013,1,0,NA,0,0,NA,0,DRUG,1,academic,5,4,0.5,0,metformin hydrochloride,drug,1,1,NA,0
NCT01954992,NA,2013,3,0,NA,0,0,1,0,DRUG,0,biotech,0,0,NA,0,glufosfamide,drug,2,0,NA,0
NCT01956812,0,2013,3,0,NA,0,0,8,1,DRUG,0,unknown,4,3,0.5,0,immu 107,drug,0,0,NA,1
NCT01959139,1,2013,1,0,NA,0,0,1,0,DRUG,0,unknown,3,0,NA,0,pegph20,drug,0,0,NA,1
NCT01959672,NA,2013,2,0,NA,0,0,1,0,PROCEDURE,1,academic,3,2,1,0,4 dimensional computed tomography,procedure,0,0,NA,1
NCT01962909,0,2013,0.5,0,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,ptp 01,drug,0,0,NA,1
NCT01964287,NA,2013,1,0,NA,0,0,1,0,DRUG,0,unknown,2,2,1,0,gembrax,drug,0,0,NA,1
NCT01964430,1,2013,3,0,NA,0,0,21,1,DRUG,0,unknown,2,1,1,0,nab paclitaxel,drug,2,2,0,0
NCT01964534,NA,2013,2,0,NA,0,0,1,0,DRUG,0,unknown,7,2,0.5,0,abi 007,drug,0,0,NA,1
NCT01971034,NA,2013,2,0,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,paclitaxel,drug,3,0,NA,0
NCT01971281,NA,2013,1,0,NA,0,0,2,1,DEVICE,1,biotech,0,0,NA,0,novottf 100l,device,0,0,NA,1
NCT01972919,NA,2013,2,0,NA,0,0,1,0,RADIATION,1,unknown,0,0,NA,0,radiation therapy,radiation,1,1,NA,0
NCT01977066,1,2013,NA,NA,NA,0,0,1,0,BEHAVIORAL,0,academic,2,2,0.5,0,six months supervised resistance training,behavioral,0,0,NA,1
NCT01983410,NA,2013,NA,NA,NA,0,0,2,1,BEHAVIORAL,1,academic,8,1,1,1,the risk assessment questionnaire,behavioral,0,0,NA,1
NCT01986738,NA,2013,NA,NA,NA,0,0,1,0,RADIATION,1,academic,6,2,0.5,0,standard radiation therapy,radiation,0,0,NA,1
NCT01989000,NA,2013,NA,NA,NA,0,0,1,0,DRUG,1,unknown,2,2,1,0,gadobutrol,drug,0,0,NA,1
NCT01989624,NA,2013,NA,NA,NA,0,0,2,1,NA,0,academic,0,0,NA,0,biomarker,NA,12,11,NA,0
NCT01994681,NA,2013,NA,NA,NA,0,0,1,0,NA,0,unknown,0,0,NA,0,observational non therapeutic,NA,2,2,NA,0
NCT01995240,NA,2013,NA,NA,NA,0,0,1,0,DRUG,0,unknown,2,2,1,0,gadobutrol,drug,0,0,NA,1
NCT01996540,1,2013,NA,NA,NA,1,1,1,0,OTHER,0,unknown,0,0,NA,0,interventional arm early best palliative care,other,0,0,NA,1
NCT02002806,NA,2013,NA,NA,NA,0,0,1,0,OTHER,0,academic,1,0,NA,0,alcohol injection,other,0,0,NA,1
NCT02004262,1,2013,2,0,NA,0,0,2,1,BIOLOGICAL,1,biotech,1,1,NA,0,gvax pancreas vaccine,biological,1,0,NA,0
NCT02005315,NA,2013,1,0,NA,0,0,1,0,DRUG,0,biotech,2,2,1,0,vantictumab,drug,0,0,NA,1
NCT02005419,NA,2013,2,0,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,gemcitabine,drug,40,23,0.412,0
NCT02017015,NA,2013,2,0,NA,0,0,1,0,DRUG,0,unknown,2,1,1,0,nab paclitaxel,drug,2,2,0,0
NCT02021500,NA,2013,NA,NA,NA,0,0,9,1,DRUG,0,unknown,2,1,1,0,abi 007,drug,0,0,NA,1
NCT02022033,NA,2013,2,0,NA,0,0,1,0,DRUG,0,academic,1,1,NA,0,folfoxa,drug,0,0,NA,1
NCT02023021,NA,2013,2,0,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,nab paclitaxel,drug,2,2,0,0
NCT02024009,1,2013,1,0,NA,0,0,1,0,DRUG,1,academic,0,0,NA,0,nab paclitaxel,drug,2,2,0,0
NCT02024633,NA,2013,1,0,NA,0,0,1,0,DRUG,0,biotech,0,0,NA,0,icotinib,drug,0,0,NA,1
NCT02028377,NA,2013,NA,NA,NA,0,0,1,0,PROCEDURE,0,academic,2,2,0.5,0,pet mri,procedure,0,0,NA,1
NCT02028806,1,2014,2,0,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,mfolfirinox,drug,1,1,1,0
NCT02030860,NA,2014,1,0,NA,0,0,1,0,DRUG,0,academic,4,2,1,0,paricalcitol,drug,0,0,NA,1
NCT02035072,NA,2014,2,0,NA,0,0,1,0,DRUG,1,unknown,1,1,1,0,gemcitabine,drug,46,22,0.368,0
NCT02041936,NA,2014,NA,NA,NA,0,0,1,0,DEVICE,0,academic,2,1,NA,0,nanoknife ire system,device,0,0,NA,1
NCT02042378,NA,2014,2,0,NA,0,0,2,1,DRUG,0,biotech,0,0,NA,0,rucaparib,drug,0,0,NA,1
NCT02042859,NA,2014,1,0,NA,0,0,NA,0,DEVICE,0,unknown,0,0,NA,0,endoscopic bipolar radiofrequency probe used to remove tumors in bile duct to manage pancreatic cancer,device,0,0,NA,1
NCT02043288,NA,2014,3,0,NA,0,0,7,1,DRUG,0,biotech,0,0,NA,0,nc 6004,drug,0,0,NA,1
NCT02043730,1,2014,2,0,NA,0,0,1,0,DRUG,0,unknown,2,1,1,0,nab paclitaxel and gemcitabine,drug,0,0,NA,1
NCT02045589,1,2014,1,0,NA,0,0,1,0,GENETIC,1,unknown,0,0,NA,0,vcn 01,genetic,0,0,NA,1
NCT02047474,NA,2014,2,0,NA,0,0,1,0,DRUG,1,academic,1,1,NA,0,oxaliplatin,drug,7,3,0.667,0
NCT02047500,0,2014,1,0,NA,0,0,1,0,DRUG,0,unknown,2,2,1,0,th 302,drug,1,1,1,0
NCT02047513,1,2014,2,0,NA,0,0,1,0,DRUG,0,unknown,1,1,NA,0,perioperative nab paclitaxel gemcitabine,drug,0,0,NA,1
NCT02048384,1,2014,1,0,NA,0,0,1,0,DRUG,0,academic,18,7,0.444,1,metformin alone arm a,drug,0,0,NA,1
NCT02050178,NA,2014,1,0,NA,0,0,1,0,DRUG,0,biotech,3,3,1,0,omp 54f28 nab paclitaxel and gemcitabine,drug,0,0,NA,1
NCT02070705,0,2014,NA,NA,NA,0,0,1,0,PROCEDURE,1,academic,1,0,NA,0,dynamic contrast enhanced magnetic resonance imaging,procedure,1,1,0,0
NCT02072616,NA,2014,NA,NA,NA,0,0,1,0,OTHER,0,academic,0,0,NA,0,pancreatic adenocarcinoma diagnosis,other,0,0,NA,1
NCT02074046,NA,2014,1,0,NA,0,0,1,0,BIOLOGICAL,0,academic,0,0,NA,0,cancer stem cell vaccine,biological,0,0,NA,1
NCT02077881,1,2014,1,0,NA,0,0,1,0,DRUG,0,biotech,5,2,0.5,0,nab paclitaxel,drug,6,6,0.5,0
NCT02079363,NA,2014,NA,NA,NA,0,0,1,0,OTHER,0,academic,0,0,NA,0,no interventions this is an observational study,other,0,0,NA,1
NCT02079623,NA,2014,NA,NA,NA,0,0,1,0,PROCEDURE,1,academic,0,0,NA,0,electroporation nano knife treatment,procedure,0,0,NA,1
NCT02080221,NA,2014,2,0,NA,0,0,1,0,DRUG,0,academic,2,2,NA,0,folfoxa,drug,1,1,NA,0
NCT02080260,NA,2014,2,0,NA,0,0,1,0,DRUG,0,academic,6,3,0.5,0,regorafenib,drug,0,0,NA,1
NCT02089269,1,2014,NA,NA,NA,0,0,1,0,NA,0,unknown,0,0,NA,0,registry real world,NA,0,0,NA,1
NCT02092948,NA,2014,1,0,NA,0,0,1,0,RADIATION,0,academic,1,1,0,0,124i psca minibody pet ct imaging of the whole body,radiation,0,0,NA,1
NCT02098239,NA,2014,2,0,NA,0,0,NA,0,DRUG,0,biotech,0,0,NA,0,g17dt,drug,0,0,NA,1
NCT02101021,0,2014,3,0,NA,0,0,1,0,DRUG,0,big_pharma,0,0,NA,0,momelotinib,drug,0,0,NA,1
NCT02101580,NA,2014,1,0,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,adi peg 20,drug,0,0,NA,1
NCT02106871,0,2014,1,0,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,sildenafil,drug,0,0,NA,1
NCT02106884,NA,2014,2,0,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,nab paclitaxel,drug,6,6,0.5,0
NCT02109341,NA,2014,1,0,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,paclitaxel bound albumine,drug,0,0,NA,1
NCT02109445,0,2014,2,0,NA,0,0,1,0,DRUG,0,big_pharma,4,0,1,0,pf 03084014,drug,0,0,NA,1
NCT02117258,NA,2014,2,0,NA,0,0,3,1,DRUG,0,biotech,1,0,NA,0,z 360,drug,1,0,NA,0
NCT02117479,0,2014,3,0,NA,0,0,NA,0,DRUG,0,biotech,1,1,1,0,ruxolitinib,drug,0,0,NA,1
NCT02117895,NA,2014,3,0,NA,0,0,1,0,PROCEDURE,0,academic,1,1,NA,0,celiac plexus resection,procedure,0,0,NA,1
NCT02118077,NA,2014,3,0,NA,0,0,NA,0,BIOLOGICAL,0,biotech,0,0,NA,0,g17dt,biological,0,0,NA,1
NCT02119663,0,2014,3,0,NA,0,0,NA,0,DRUG,0,biotech,1,1,1,0,ruxolitinib,drug,0,0,NA,1
NCT02124317,NA,2014,2,0,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,nanoparticle albumin bound paclitaxel,drug,0,0,NA,1
NCT02125136,1,2014,2,0,NA,0,0,1,0,DRUG,0,unknown,1,1,NA,0,gem nab pac,drug,0,0,NA,1
NCT02128100,NA,2014,2,0,NA,0,0,1,0,DRUG,1,academic,0,0,NA,0,folfirinox,drug,5,5,0,0
NCT02131493,NA,2014,2,0,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,s 1 gemcitabine,drug,0,0,NA,1
NCT02132403,0,2014,1,0,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,bth1704,drug,0,0,NA,1
NCT02135822,NA,2014,2,0,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,nanoparticle albumin bound paclitaxel,drug,0,0,NA,1
NCT02138383,NA,2014,1,0,NA,0,0,1,0,DRUG,0,academic,5,4,0.333,0,enzalutamide,drug,0,0,NA,1
NCT02143219,NA,2014,2,0,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,oxaliplatine,drug,0,0,NA,1
NCT02146313,NA,2014,1,0,NA,0,0,1,0,DRUG,0,biotech,1,1,1,0,dmuc4064a,drug,0,0,NA,1
NCT02148549,NA,2014,1,0,NA,0,0,1,0,DRUG,0,academic,1,0,1,0,firinox,drug,0,0,NA,1
NCT02150135,NA,2014,1,0,NA,0,0,1,0,OTHER,0,academic,4,3,1,0,oncothermia,other,0,0,NA,1
NCT02153450,NA,2014,0.5,0,NA,0,0,1,0,DRUG,1,academic,6,4,0.333,0,metformin hydrochloride,drug,2,2,0,0
NCT02154646,NA,2014,1,0,NA,0,0,1,0,DRUG,0,big_pharma,12,7,0.5,1,ly2157299,drug,0,0,NA,1
NCT02154737,NA,2013,1,0,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,gemcitabine,drug,40,23,0.412,0
NCT02155088,NA,2014,1,0,NA,0,0,1,0,DRUG,0,academic,5,4,0.333,0,byl719,drug,0,0,NA,1
NCT02159248,0,2014,1,0,NA,0,0,1,0,DRUG,0,biotech,0,0,NA,0,tolfenamic acid gemcitabine radiation,drug,0,0,NA,1
NCT02162823,NA,2014,NA,NA,NA,0,0,1,0,PROCEDURE,0,academic,0,0,NA,0,pancreatic surgery,procedure,0,0,NA,1
NCT02174887,NA,2014,1,0,NA,0,0,1,0,DRUG,0,unknown,2,1,NA,0,nab paclitaxel gemcitabine,drug,0,0,NA,1
NCT02178436,1,2014,1,0,NA,0,0,1,0,DRUG,1,unknown,0,0,NA,0,gemcitabine hydrochloride,drug,28,8,0.625,0
NCT02184195,1,2014,3,0,NA,0,0,12,1,DRUG,0,big_pharma,4,0,1,0,olaparib,drug,0,0,NA,1
NCT02184663,NA,2014,NA,NA,NA,0,0,1,0,OTHER,0,unknown,8,1,0.5,1,without apa program,other,0,0,NA,1
NCT02190071,NA,2014,NA,NA,NA,0,0,1,0,NA,0,academic,4,3,1,0,biomarker,NA,15,12,NA,0
NCT02191761,NA,2014,1,0,NA,0,0,NA,0,DRUG,0,biotech,0,0,NA,0,sm04755,drug,0,0,NA,1
NCT02194829,NA,2014,1,0,NA,0,0,1,0,DRUG,0,academic,35,11,0.692,1,azd1775,drug,0,0,NA,1
NCT02202785,0,2014,2,0,NA,0,0,NA,0,DRUG,0,biotech,0,0,NA,0,mln0264,drug,0,0,NA,1
NCT02206360,NA,2014,NA,NA,NA,0,0,1,0,PROCEDURE,0,academic,0,0,NA,0,endoscopic ultrasound,procedure,0,0,NA,1
NCT02207465,NA,2014,1,0,NA,0,0,1,0,RADIATION,1,academic,4,2,1,0,radiotherapy,radiation,1,0,NA,0
NCT02207985,0,2014,1,0,NA,0,0,1,0,PROCEDURE,0,academic,0,0,NA,0,allogeneic hematopoietic stem cell transplantation,procedure,0,0,NA,1
NCT02209415,NA,2011,NA,NA,NA,0,0,1,0,BEHAVIORAL,1,unknown,0,0,NA,0,standard follow up,behavioral,0,0,NA,1
NCT02210364,NA,2014,1,0,NA,0,0,NA,0,DRUG,0,biotech,0,0,NA,0,lurbinectedin pm01183,drug,0,0,NA,1
NCT02210559,NA,2014,1,0,NA,0,0,1,0,DRUG,0,unknown,1,1,NA,0,fg 3019,drug,1,1,NA,0
NCT02215044,0,2014,1,0,NA,0,0,NA,0,DRUG,0,unknown,1,0,NA,0,bi 2536 intravenous,drug,0,0,NA,1
NCT02220062,NA,2014,NA,NA,NA,1,0,NA,0,PROCEDURE,0,academic,2,2,NA,0,eus cpn,procedure,0,0,NA,1
NCT02231723,NA,2014,1,0,NA,0,0,1,0,DRUG,0,biotech,0,0,NA,0,bbi608,drug,0,0,NA,1
NCT02237157,1,2014,1,0,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,gemcitabine local delivery,drug,0,0,NA,1
NCT02241187,NA,2014,NA,NA,NA,0,0,1,0,DRUG,1,academic,9,2,1,1,pegph20,drug,2,2,1,0
NCT02241551,0,2014,2,0,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,gemcitabine nab paclitaxel,drug,0,0,NA,1
NCT02243007,0,2014,2,0,NA,0,0,1,0,DRUG,1,academic,9,5,0.333,1,folfirinox,drug,5,5,0,0
NCT02243358,NA,2014,2,0,NA,0,0,1,0,DRUG,1,unknown,1,0,0,0,folfox6,drug,0,0,NA,1
NCT02244489,0,2014,1,0,NA,0,0,1,0,DRUG,0,big_pharma,0,0,NA,0,momelotinib mmb,drug,0,0,NA,1
NCT02245217,NA,2014,NA,NA,NA,0,0,1,0,DEVICE,0,academic,2,1,0,0,pet ct scan to assess treatment efficacy,device,0,0,NA,1
NCT02250638,NA,2014,NA,NA,NA,0,0,2,1,OTHER,0,biotech,0,0,NA,0,ca 19 9 assay,other,0,0,NA,1
NCT02261714,1,2014,1,0,NA,0,0,3,1,BIOLOGICAL,0,unknown,0,0,NA,0,tg01,biological,0,0,NA,1
NCT02267707,0,2014,1,0,NA,0,0,2,1,DRUG,0,unknown,5,3,1,0,nab paclitaxel,drug,6,6,0.5,0
NCT02269683,0,2014,NA,NA,NA,0,0,1,0,PROCEDURE,0,unknown,1,1,NA,0,robot assisted distal pancreatectomy,procedure,0,0,NA,1
NCT02272738,NA,2014,1,0,NA,0,0,1,0,DRUG,0,academic,1,1,NA,0,gemcitabine,drug,46,22,0.368,0
NCT02277834,NA,2014,NA,NA,NA,0,0,1,0,NA,0,academic,2,2,0,0,advanced disease,NA,116,61,0,0
NCT02283372,NA,2014,1,0,NA,0,0,1,0,DRUG,1,academic,3,3,0.5,0,nab paclitaxel,drug,6,6,0.5,0
NCT02289898,NA,2014,2,0,NA,0,0,6,1,DRUG,0,biotech,3,3,1,0,demcizumab,drug,1,1,NA,0
NCT02292745,1,2014,NA,NA,NA,0,0,1,0,RADIATION,0,unknown,1,1,0,0,stereotactic radiotherapy,radiation,0,0,NA,1
NCT02295956,1,2014,0.5,0,NA,0,0,1,0,BEHAVIORAL,1,academic,15,5,0.5,1,questionnaires,behavioral,1,0,NA,0
NCT02301143,1,2014,2,0,NA,0,0,5,1,DRUG,1,unknown,5,3,1,0,nab paclitaxel,drug,6,6,0.5,0
NCT02305186,NA,2014,1,0,NA,0,0,1,0,DRUG,1,unknown,0,0,NA,0,pembrolizumab,drug,0,0,NA,1
NCT02307539,NA,2014,NA,NA,NA,0,0,1,0,PROCEDURE,1,academic,5,4,0,0,psychosocial assessment and care,procedure,0,0,NA,1
NCT02308722,1,2014,1,0,NA,0,0,1,0,RADIATION,0,academic,1,1,1,0,5 fraction stereotactic body radiation therapy,radiation,0,0,NA,1
NCT02309177,1,2014,1,0,NA,0,0,1,0,DRUG,0,unknown,5,3,1,0,nab paclitaxel,drug,6,6,0.5,0
NCT02309632,0,2014,NA,NA,NA,0,0,1,0,OTHER,0,academic,0,0,NA,0,pancreatic cancer screening pathway 1,other,0,0,NA,1
NCT02311361,NA,2014,1,0,NA,0,0,1,0,BIOLOGICAL,1,academic,35,11,0.692,1,durvalumab,biological,0,0,NA,1
NCT02318095,NA,2014,NA,NA,NA,0,0,1,0,DRUG,1,academic,2,0,0,0,gemcitabine nab paclitaxel,drug,0,0,NA,1
NCT02324543,1,2014,1,0,NA,0,0,1,0,DRUG,0,academic,18,7,0.444,1,gemcitabine,drug,46,22,0.368,0
NCT02329717,NA,2014,2,0,NA,0,0,1,0,DRUG,0,biotech,0,0,NA,0,pbi 05204,drug,0,0,NA,1
NCT02332863,1,2014,NA,NA,NA,0,0,1,0,DEVICE,0,academic,0,0,NA,0,back loaded needle device,device,0,0,NA,1
NCT02333409,0,2014,NA,NA,NA,0,0,1,0,PROCEDURE,0,academic,0,0,NA,0,electroacupuncture,procedure,0,0,NA,1
NCT02335151,NA,2014,4,0,NA,0,0,1,0,DRUG,0,academic,2,1,0,0,desflurane,drug,0,0,NA,1
NCT02336087,NA,2015,1,0,NA,0,0,1,0,DRUG,1,academic,6,3,0,0,gemcitabine hydrochloride,drug,29,7,0.667,0
NCT02336672,NA,2014,NA,NA,NA,0,0,1,0,DEVICE,0,unknown,7,7,0.667,0,cryothermal ablation,device,0,0,NA,1
NCT02337465,NA,2015,NA,NA,NA,0,0,1,0,DEVICE,1,academic,7,3,0.333,0,cone beam computed tomography,device,0,0,NA,1
NCT02340117,NA,2014,2,0,NA,0,0,1,0,GENETIC,1,biotech,0,0,NA,0,sgt 53,genetic,0,0,NA,1
NCT02342847,NA,2014,NA,NA,NA,0,0,1,0,OTHER,0,unknown,5,3,1,0,n a non interventional study,other,0,0,NA,1
NCT02343835,NA,2015,NA,NA,NA,0,0,1,0,DEVICE,0,academic,1,1,NA,0,nanoknife ledc system,device,0,0,NA,1
NCT02345408,NA,2015,1,0,NA,0,0,1,0,DRUG,0,big_pharma,0,0,NA,0,ccx872 b,drug,0,0,NA,1
NCT02345460,0,2015,2,0,NA,0,0,1,0,DRUG,1,academic,7,3,0.333,0,irinotecan hydrochloride,drug,0,0,NA,1
NCT02347618,NA,2014,NA,NA,NA,0,0,1,0,RADIATION,0,big_pharma,0,0,NA,0,preoperative sbrt,radiation,0,0,NA,1
NCT02349867,1,2015,1,0,NA,0,0,1,0,DRUG,1,academic,0,0,NA,0,gemcitabine,drug,49,22,0.4,0
NCT02351219,NA,2015,2,0,NA,0,0,1,0,DRUG,0,unknown,1,1,NA,0,folfoxiri,drug,0,0,NA,1
NCT02352337,1,2015,2,0,NA,0,0,1,0,DRUG,0,unknown,3,1,1,0,folfirinox,drug,7,7,0,0
NCT02352831,0,2015,1,0,NA,0,0,1,0,DRUG,1,academic,4,4,0.5,0,tosedostat,drug,0,0,NA,1
NCT02355119,NA,2015,3,0,NA,0,1,1,0,DRUG,0,unknown,1,1,NA,0,folfoxiri,drug,0,0,NA,1
NCT02358161,NA,2014,1,0,NA,0,0,1,0,DRUG,0,unknown,4,4,1,0,gemcitabine and nab paclitaxel,drug,0,0,NA,1
NCT02362048,1,2015,2,0,NA,0,0,NA,0,DRUG,1,biotech,0,0,NA,0,acp 196,drug,0,0,NA,1
NCT02368860,NA,2015,1,0,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,oxaliplatin irinotecan capecitabine,drug,0,0,NA,1
NCT02382263,NA,2015,1,0,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,nab paclitaxel 150 mg m2 gemcitabine 1000 weeks 1 3 4,drug,0,0,NA,1
NCT02383433,0,2015,2,0,NA,0,0,1,0,DRUG,0,academic,7,3,0.333,0,regorafenib,drug,1,1,NA,0
NCT02391662,NA,2015,2,0,NA,0,0,1,0,DRUG,0,academic,0,0,NA,0,nab paclitaxel 125 mg m2 weeks 1 2 3 4,drug,0,0,NA,1
NCT02393703,NA,2015,NA,NA,NA,0,0,1,0,NA,0,academic,10,3,1,1,liquid biopsy,NA,0,0,NA,1
NCT02394535,1,2015,1,0,NA,0,0,1,0,DRUG,1,academic,16,2,0.571,1,capecitabine,drug,22,7,0.571,0
NCT02395016,1,2015,3,0,NA,0,0,1,0,DRUG,1,biotech,0,0,NA,0,nimotuzumab,drug,1,0,1,0
NCT02399137,1,2015,2,0,NA,0,0,6,1,DRUG,0,biotech,1,1,1,0,mm 141,drug,0,0,NA,1
NCT02400398,NA,2015,NA,NA,NA,0,0,1,0,OTHER,0,unknown,0,0,NA,0,tube feeding,other,0,0,NA,1
NCT02404363,0,2015,3,0,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,clopidogrel,drug,0,0,NA,1
NCT02405585,0,2015,2,0,NA,0,0,1,0,DRUG,1,biotech,6,3,0.6,0,mfolfirinox,drug,2,2,1,0
NCT02406846,NA,2015,NA,NA,NA,0,0,1,0,OTHER,0,academic,1,1,NA,0,flow cytometry fcm,other,0,0,NA,1
NCT02414100,0,2015,NA,NA,NA,0,0,1,0,OTHER,0,academic,1,0,1,0,laboratory biomarker analysis,other,2,1,NA,0
NCT02416609,NA,2015,NA,NA,NA,0,0,1,0,RADIATION,1,unknown,0,0,NA,0,ldr,radiation,0,0,NA,1
NCT02424279,NA,2015,NA,NA,NA,0,0,1,0,PROCEDURE,0,academic,0,0,NA,0,splanchnicectomy,procedure,0,0,NA,1
NCT02426281,NA,2015,2,0,NA,0,0,1,0,DRUG,0,academic,3,2,NA,0,nab paclitaxel,drug,12,12,0.625,0
NCT02427841,NA,2015,2,0,NA,0,0,1,0,DRUG,1,academic,2,1,0,0,fluorouracil,drug,11,1,0.667,0
NCT02428270,NA,2015,2,0,NA,0,0,1,0,DRUG,0,academic,7,4,0.333,0,gsk2256098,drug,0,0,NA,1
NCT02436564,NA,2015,NA,NA,NA,0,0,1,0,GENETIC,0,academic,4,2,NA,0,organoid in vitro culture,genetic,0,0,NA,1
NCT02436668,NA,2015,3,0,NA,0,0,8,1,DRUG,0,biotech,1,0,NA,0,ibrutinib,drug,0,0,NA,1
NCT02440958,NA,2015,2,0,NA,0,1,NA,0,DRUG,0,academic,1,1,0,0,modified folfirinox regimen,drug,0,0,NA,1
NCT02442323,NA,2015,NA,NA,NA,0,0,1,0,BEHAVIORAL,0,academic,4,1,0,0,walking intervention,behavioral,0,0,NA,1
NCT02446093,NA,2015,2,0,NA,0,0,2,1,BIOLOGICAL,1,biotech,0,0,NA,0,aglatimagene besadenovec,biological,0,0,NA,1
NCT02449967,0,2015,1,0,NA,0,0,1,0,PROCEDURE,0,academic,1,1,NA,0,interventional therapy,procedure,0,0,NA,1
NCT02451384,NA,2015,NA,NA,NA,0,0,1,0,PROCEDURE,0,academic,0,0,NA,0,routine surgery,procedure,0,0,NA,1
NCT02454140,1,2015,NA,NA,NA,0,0,1,0,RADIATION,0,academic,0,0,NA,0,sbrt,radiation,0,0,NA,1
NCT02456051,0,2015,NA,NA,NA,0,0,1,0,NA,0,academic,1,1,NA,0,biomarker,NA,16,12,NA,0
NCT02459652,NA,2015,2,0,NA,0,0,1,0,DRUG,1,unknown,0,0,NA,0,s 1,drug,4,1,0,0
NCT02461836,NA,2015,2,0,NA,0,0,1,0,DRUG,1,academic,0,0,NA,0,gemcitabine,drug,49,22,0.4,0
NCT02465983,0,2015,1,0,NA,0,0,1,0,BIOLOGICAL,1,academic,2,1,0,0,cart meso 19 t cells,biological,0,0,NA,1
NCT02468557,0,2015,1,0,NA,0,0,1,0,DRUG,0,unknown,5,3,0.333,0,idelalisib,drug,0,0,NA,1
NCT02475499,1,2015,NA,NA,NA,0,0,1,0,DRUG,0,unknown,0,0,NA,0,dpp 4 inhibitors,drug,0,0,NA,1
NCT02478892,NA,2015,NA,NA,NA,0,0,1,0,OTHER,0,academic,6,4,1,0,collection of data from endoscopic ultrasound or mri mrcp of the abdomen,other,0,0,NA,1
NCT02481635,NA,2015,1,0,NA,0,0,1,0,DRUG,1,academic,7,4,0.333,0,gemcitabine,drug,49,22,0.4,0
