nct_id,title,study_type,phase,status,sponsor,classification,classification_reason
NCT01510561,A Study of Fractionated 90Y-hPAM4 Plus Gemcitabine in Pancreatic Cancer Patients Receiving at Least 2 Prior Therapies.,INTERVENTIONAL,PHASE1,WITHDRAWN,Gilead Sciences,therapeutic,Interventional study
NCT01523457,Study of Modified FOLFIRINOX in Advanced Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,Yale University,therapeutic,Interventional study
NCT01523808,Administration of GRASPA (Suspension of Erythrocytes Encapsulating L-asparaginase)in Patients With Pancreatic Cancer,INTERVENTIONAL,PHASE1,COMPLETED,ERYtech Pharma,therapeutic,Interventional study
NCT01553019,Postoperative Proton Radiotherapy With Chemo for Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,University of Florida,therapeutic,Interventional study
NCT01569282,Double Bypass Versus Stent-treatment in Irresectable Pancreatic Cancer,INTERVENTIONAL,NA,WITHDRAWN,Göteborg University,therapeutic,Interventional study
NCT01580241,Serum DCAMKL1 Pre and Post Treatment in Patients With Pancreatic Cancer,OBSERVATIONAL,Unknown,UNKNOWN,University of Oklahoma,other,Does not match therapeutic or biomarker criteria
NCT01591733,FOLFIRINOX + RT for Pancreatic Cancer,INTERVENTIONAL,PHASE2,UNKNOWN,Massachusetts General Hospital,therapeutic,Interventional study
NCT01598584,Mirtazapine Plus Gemcitabine Versus Gemcitabine in Metastasis Pancreatic Cancer,INTERVENTIONAL,PHASE2,WITHDRAWN,Tianjin Medical University Cancer Institute and Hospital,therapeutic,Interventional study
NCT01600807,OSI-906 With Gemcitabine and Erlotinib for Metastatic Ductal Adenocarcinoma of the Pancreas,INTERVENTIONAL,PHASE1,WITHDRAWN,Dana-Farber Cancer Institute,therapeutic,Interventional study
NCT01608711,A Study of AGS-1C4D4 in Pancreatic Cancer Subjects Previously Treated in Protocol 2008002,INTERVENTIONAL,PHASE2,COMPLETED,"Agensys, Inc.",therapeutic,Interventional study
NCT01621243,M402 in Combination With Nab-Paclitaxel and Gemcitabine in Pancreatic Cancer,INTERVENTIONAL,PHASE1,TERMINATED,"Momenta Pharmaceuticals, Inc.",therapeutic,Interventional study
NCT01628458,Safety Study of Radiofrequency Ablation of Locally Advanced Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,UMC Utrecht,therapeutic,Interventional study
NCT01632306,A Study of LY2090314 and Chemotherapy in Participants With Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE1,TERMINATED,Eli Lilly and Company,therapeutic,Interventional study
NCT01658943,Selumetinib and Akt Inhibitor MK2206 or mFOLFOX Therapy Comprising Oxaliplatin and Fluorouracil in Treating Patients With Metastatic Pancreatic Cancer Previously Treated With Chemotherapy,INTERVENTIONAL,PHASE2,COMPLETED,National Cancer Institute (NCI),therapeutic,Interventional study
NCT01660971,"Gemcitabine Hydrochloride, Dasatinib, and Erlotinib Hydrochloride in Treating Patients With Pancreatic Cancer That Is Metastatic or Cannot Be Removed by Surgery",INTERVENTIONAL,PHASE1,ACTIVE_NOT_RECRUITING,National Cancer Institute (NCI),therapeutic,Interventional study
NCT01665625,Regional Versus Systemic Chemotherapy in the Treatment of Unresectable Pancreatic Cancer,INTERVENTIONAL,NA,UNKNOWN,"Air Force Military Medical University, China",therapeutic,Interventional study
NCT01675258,"Identifying Saliva Markers of Patients With Stomach, Colorectal (Including Pre-cancer Polyp) and Pancreatic Cancers",OBSERVATIONAL,Unknown,UNKNOWN,Hadassah Medical Organization,biomarker,Biomarker or molecular study
NCT01676259,A Phase 2 Study of siG12D LODER in Combination With Chemotherapy in Patients With Locally Advanced Pancreatic Cancer,INTERVENTIONAL,PHASE2,UNKNOWN,Silenseed Ltd,therapeutic,Interventional study
NCT01693276,"Gemcitabine/Abraxane Chemotherapy and Dose Escalated Radiotherapy for Locally Advanced, Unresectable Pancreatic Cancer",INTERVENTIONAL,PHASE1,TERMINATED,Olugbenga Olowokure,therapeutic,Interventional study
NCT01693523,Minocycline Study in Pancreatic Cancer Patients,INTERVENTIONAL,PHASE2,COMPLETED,M.D. Anderson Cancer Center,therapeutic,Interventional study
NCT01703026,Contrast Enhanced EUS in the Evaluation of Pancreatic Cancer and Pancreatic Masses,OBSERVATIONAL,Unknown,COMPLETED,Changi General Hospital,other,Does not match therapeutic or biomarker criteria
NCT01729481,Gemcitabine Plus Erlotinib in RASH-positive Patients With Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE2,UNKNOWN,Ludwig-Maximilians - University of Munich,therapeutic,Interventional study
NCT01754623,GTX-RT in Borderline Resectable Pancreatic Cancer,INTERVENTIONAL,PHASE2,TERMINATED,H. Lee Moffitt Cancer Center and Research Institute,therapeutic,Interventional study
NCT01760694,Multi-Modality Therapy for Untreated Patients With Resectable or Marginally Resectable Pancreatic Cancer,INTERVENTIONAL,NA,TERMINATED,Southwestern Regional Medical Center,therapeutic,Interventional study
NCT01764659,4D-CT for Pancreatic Adenocarcinoma in Radiotherapy Simulation,OBSERVATIONAL,Unknown,COMPLETED,"University of Maryland, Baltimore",biomarker,Biomarker or molecular study
NCT01770132,Ultrasound-Guided Photodynamic Therapy With Photofrin & Gemcitabine for Patients With Locally Advanced Pancreatic Cancer,INTERVENTIONAL,PHASE1,COMPLETED,John DeWitt,therapeutic,Interventional study
NCT01774643,A Study of Pancreatic Cancer in Xenografts From Liver Metastases,OBSERVATIONAL,Unknown,COMPLETED,"University Health Network, Toronto",other,Does not match therapeutic or biomarker criteria
NCT01782690,An Observational Study of Erlotinib Plus Gemcitabine in Patients With Metastatic Pancreatic Cancer,OBSERVATIONAL,Unknown,COMPLETED,Hoffmann-La Roche,other,Does not match therapeutic or biomarker criteria
NCT01786850,Magnetic Resonance-guided High-intensity Focused Ultrasound Treatment of Locally Advanced Pancreatic Cancer,EXPANDED_ACCESS,Unknown,AVAILABLE,University of Roma La Sapienza,other,Does not match therapeutic or biomarker criteria
NCT01808638,Atu027 Plus Gemcitabine in Advanced or Metastatic Pancreatic Cancer (Atu027-I-02),INTERVENTIONAL,PHASE1,COMPLETED,Silence Therapeutics GmbH,therapeutic,Interventional study
NCT01821612,Chemotherapy and Radiation Therapy Before Surgery Followed by Gemcitabine in Treating Patients with Pancreatic Cancer,INTERVENTIONAL,EARLY_PHASE1,COMPLETED,Alliance for Clinical Trials in Oncology,therapeutic,Interventional study
NCT01821729,Proton w/FOLFIRINOX-Losartan for Pancreatic Cancer,INTERVENTIONAL,PHASE2,UNKNOWN,Massachusetts General Hospital,therapeutic,Interventional study
NCT01835041,CPI-613 and Combination Chemotherapy in Treating Patients With Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE1,COMPLETED,Wake Forest University Health Sciences,therapeutic,Interventional study
NCT01836432,Immunotherapy Study in Borderline Resectable or Locally Advanced Unresectable Pancreatic Cancer,INTERVENTIONAL,PHASE3,TERMINATED,NewLink Genetics Corporation,therapeutic,Interventional study
NCT01839981,CPI-613 in Treating Patients With Locally Advanced or Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE1,COMPLETED,Wake Forest University Health Sciences,therapeutic,Interventional study
NCT01844817,Phase II Trial Of Gemcitabine Plus Nab-Paclitaxel +/- OGX-427 In Patients With Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,"SCRI Development Innovations, LLC",therapeutic,Interventional study
NCT01851174,Study to Evaluate Bi-weekly Dosing of Gemcitabine Plus Nab-Paclitaxel to Treat Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE2,TERMINATED,Western Regional Medical Center,therapeutic,Interventional study
NCT01852890,"Gemcitabine, Ascorbate, Radiation Therapy for Pancreatic Cancer, Phase I",INTERVENTIONAL,PHASE1,COMPLETED,Joseph J. Cullen,therapeutic,Interventional study
NCT01876069,Comparing Newly Developed PreCore Needle With Conventional Fine Needle in Suspected Unresectable Pancreatic Cancer,INTERVENTIONAL,NA,COMPLETED,Samsung Medical Center,therapeutic,Interventional study
NCT01896869,FOLFIRINOX Followed by Ipilimumab With Pancreatic Tumor Vaccine in Treatment of Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,therapeutic,Interventional study
NCT01897636,Efficacy and Safety of Endoscopic Ultrasound Guided Fine-needle Injection of Dendritic Cells Vaccination Into Unresectable Pancreatic Cancer,INTERVENTIONAL,NA,UNKNOWN,The Affiliated Nanjing Drum Tower Hospital of Nanjing University Medical School,therapeutic,Interventional study
NCT01898741,Cone-beam CT Guided Stereotactic Radiation Therapy for Locally Advanced Pancreatic Cancer,INTERVENTIONAL,PHASE2,UNKNOWN,UMC Utrecht,therapeutic,Interventional study
NCT01900327,Neoadjuvant Treatment in Resectable Pancreatic Cancer,INTERVENTIONAL,PHASE3,TERMINATED,Universitätsklinikum Hamburg-Eppendorf,therapeutic,Interventional study
NCT01903083,Chemoimmunotherapy and Radiation in Pancreatic Cancer,INTERVENTIONAL,PHASE1,COMPLETED,Providence Health & Services,therapeutic,Interventional study
NCT01911416,A Biomarker Study to Identify Predictive Signatures of Response to LDE225 (Hedgehog Inhibitor) In Patients With Resectable Pancreatic Cancer,INTERVENTIONAL,NA,WITHDRAWN,University of Utah,therapeutic,Interventional study
NCT01945879,Pilot Safety Trial of Chemotherapy and Use of Heparin in Patients With Pancreatic Cancer,INTERVENTIONAL,PHASE1,COMPLETED,CONKO-Studiengruppe,therapeutic,Interventional study
NCT01946646,Phase I Study of TS-1 With Concurrent Radiotherapy to Treat Pancreatic Cancer,INTERVENTIONAL,PHASE1,TERMINATED,National Taiwan University Hospital,therapeutic,Interventional study
NCT01954732,Metformin Hydrochloride in Treating Patients With Pancreatic Cancer That Can be Removed by Surgery,INTERVENTIONAL,PHASE1,WITHDRAWN,Case Comprehensive Cancer Center,therapeutic,Interventional study
NCT01954992,Glufosfamide Versus 5-FU in Second Line Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE3,RECRUITING,Eleison Pharmaceuticals LLC.,therapeutic,Interventional study
NCT01959139,"S1313, PEGPH20 in Treating Patients With Newly Diagnosed Metastatic Pancreatic Cancer",INTERVENTIONAL,PHASE1,COMPLETED,SWOG Cancer Research Network,therapeutic,Interventional study
NCT01964287,First Line Treatment of Patients With Metastatic Pancreatic Adenocarcinoma.,INTERVENTIONAL,PHASE1,COMPLETED,Institut du Cancer de Montpellier - Val d'Aurelle,therapeutic,Interventional study
NCT01971034,Treatment of Patients With Advanced Pancreatic Cancer After Gemcitabine Failure.,INTERVENTIONAL,PHASE2,COMPLETED,Instituto do Cancer do Estado de São Paulo,therapeutic,Interventional study
NCT01977066,Exercise Intervention Study for Pancreatic Cancer Patients,INTERVENTIONAL,NA,COMPLETED,German Cancer Research Center,therapeutic,Interventional study
NCT01983410,A Registry for BRCA Mutation Carriers With Pancreatic Ductal Adenocarcinoma,OBSERVATIONAL,Unknown,ACTIVE_NOT_RECRUITING,Memorial Sloan Kettering Cancer Center,biomarker,Biomarker or molecular study
NCT01989000,The Role of the Tumor Microenvironment of Pancreatic Cancer to Predict Treatment Outcome,INTERVENTIONAL,NA,COMPLETED,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),therapeutic,Interventional study
NCT01989624,PAncreatic Adenocarcinoma in Hospital,OBSERVATIONAL,Unknown,COMPLETED,Centre Hospitalier Departemental Vendee,other,Does not match therapeutic or biomarker criteria
NCT01995240,Functional Magnetic Resonance Imaging of Pancreatic Cancer: a Feasibility and Reproducibility Study,INTERVENTIONAL,NA,COMPLETED,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),therapeutic,Interventional study
NCT02004262,Safety and Efficacy of Combination Listeria/GVAX Pancreas Vaccine in the Pancreatic Cancer Setting,INTERVENTIONAL,PHASE2,COMPLETED,"Aduro Biotech, Inc.",therapeutic,Interventional study
NCT02017015,Safety and Efficacy Study of Nab-paclitaxel Plus Gemcitabine in Chinese Patients With Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,Celgene,therapeutic,Interventional study
NCT02047474,Combination Chemotherapy Before and After Surgery in Treating Patients With Localized Pancreatic Cancer,INTERVENTIONAL,PHASE2,ACTIVE_NOT_RECRUITING,Yale University,therapeutic,Interventional study
NCT02050178,Dose Escalation Study of OMP-54F28 in Combination With Nab-Paclitaxel and Gemcitabine in Patients With Previously Untreated Stage IV Pancreatic Cancer,INTERVENTIONAL,PHASE1,COMPLETED,"OncoMed Pharmaceuticals, Inc.",therapeutic,Interventional study
NCT02079623,Electroporation (NanoKnife) as Treatment for Advanced Pancreatic Cancer,OBSERVATIONAL,Unknown,COMPLETED,Aalborg University Hospital,biomarker,Biomarker or molecular study
NCT02092948,"Phase I Study to evaluate124I-A11 PSCA Minibody in Patients With Metastatic Prostate, Bladder and Pancreatic Cancer",INTERVENTIONAL,PHASE1,COMPLETED,Jonsson Comprehensive Cancer Center,therapeutic,Interventional study
NCT02106871,Study of Sildenafil as a Therapy for Fatigue in Pancreatic Cancer,INTERVENTIONAL,PHASE1,WITHDRAWN,"The University of Texas Medical Branch, Galveston",therapeutic,Interventional study
NCT02109341,Phase I/II Study to Evaluate Nab-paclitaxel in Substitution of CPT11 or Oxaliplatin in FOLFIRINOX Schedule as First Line Treatment in Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE1,COMPLETED,Gruppo Oncologico Italiano di Ricerca Clinica,therapeutic,Interventional study
NCT02109445,Study Of PF-03084014 In Combination With Gemcitabine And Nab-Paclitaxel In Patients With Metastatic Pancreatic Adenocarcinoma Not Previously Treated With Anticancer Therapies,INTERVENTIONAL,PHASE2,TERMINATED,Pfizer,therapeutic,Interventional study
NCT02117258,Z-360 Plus GEM in Subjects With Metastatic Pancreatic Adenocarcinoma,INTERVENTIONAL,PHASE2,COMPLETED,Zeria Pharmaceutical,therapeutic,Interventional study
NCT02117479,Study of Ruxolitinib in Pancreatic Cancer Patients (Janus 1),INTERVENTIONAL,PHASE3,TERMINATED,Incyte Corporation,therapeutic,Interventional study
NCT02118077,Sequential Trial of G17DT for the Treatment of Advanced Pancreatic Cancer,INTERVENTIONAL,PHASE3,COMPLETED,Cancer Advances Inc.,therapeutic,Interventional study
NCT02119663,A Study of Ruxolitinib in Pancreatic Cancer Patients,INTERVENTIONAL,PHASE3,TERMINATED,Incyte Corporation,therapeutic,Interventional study
NCT02124317,Nab-paclitaxel Plus S-1 in Patients With Advanced Pancreatic Cancer,INTERVENTIONAL,PHASE2,UNKNOWN,Chinese PLA General Hospital,therapeutic,Interventional study
NCT02125136,Trial to Investigate Intensified Neoadjuvant Chemotherapy in Locally Advanced Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,AIO-Studien-gGmbH,therapeutic,Interventional study
NCT02131493,S-1 and and Gemcitabine vs Gemcitabine Alone as Adjuvant Chemotherapy for Patients With Resected Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,Zhejiang University,therapeutic,Interventional study
NCT02138383,Enzalutamide in Combination With Gemcitabine and Nab-Paclitaxel for the Treatment of Advanced Pancreatic Cancer,INTERVENTIONAL,PHASE1,COMPLETED,H. Lee Moffitt Cancer Center and Research Institute,therapeutic,Interventional study
NCT02148549,Neoadjuvant FIRINOX for Borderline Resectable Pancreatic Cancer - a Pilot Study,INTERVENTIONAL,PHASE1,COMPLETED,Wakayama Medical University,therapeutic,Interventional study
NCT02153450,Stereotactic Radiosurgery and Metformin in Patients With Borderline-Resectable or Locally-Advanced Pancreatic Cancer,INTERVENTIONAL,EARLY_PHASE1,COMPLETED,Case Comprehensive Cancer Center,therapeutic,Interventional study
NCT02155088,BYL719 in Combination With Gemcitabine and (Nab)-Paclitaxel in Locally Advanced and Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE1,COMPLETED,H. Lee Moffitt Cancer Center and Research Institute,therapeutic,Interventional study
NCT02159248,"Tolfenamic Acid, Gemcitabine and Radiation for Locally Advanced or Metastatic Pancreatic Cancer Requiring Radiation",INTERVENTIONAL,PHASE1,WITHDRAWN,"Orlando Health, Inc.",therapeutic,Interventional study
NCT02174887,Biological Effect of Nab-paclitaxel Combined to Gemcitabine in Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE1,COMPLETED,Institut Paoli-Calmettes,therapeutic,Interventional study
NCT02178436,"Gemcitabine, Nab-paclitaxel and KPT-330 in Advanced Pancreatic Cancer",INTERVENTIONAL,PHASE1,COMPLETED,Mohammed Najeeb Al Hallak,therapeutic,Interventional study
NCT02194829,Paclitaxel Albumin-Stabilized Nanoparticle Formulation and Gemcitabine Hydrochloride With or Without WEE1 Inhibitor AZD1775 in Treating Patients With Previously Untreated Pancreatic Cancer That Is Metastatic or Cannot Be Removed by Surgery,INTERVENTIONAL,PHASE1,COMPLETED,National Cancer Institute (NCI),therapeutic,Interventional study
NCT02202785,A Study of MLN0264 in Patients With Pancreatic Cancer,INTERVENTIONAL,PHASE2,TERMINATED,"Millennium Pharmaceuticals, Inc.",therapeutic,Interventional study
NCT02206360,Pancreatic Cancer Early Detection Program,OBSERVATIONAL,Unknown,ACTIVE_NOT_RECRUITING,White Plains Hospital,biomarker,Biomarker or molecular study
NCT02241187,Two Stage Study Of Single Dose PEGPH20 And Cetuximab In Patients With Pancreatic Adenocarcinoma Prior To Surgical Resection,INTERVENTIONAL,NA,COMPLETED,Memorial Sloan Kettering Cancer Center,therapeutic,Interventional study
NCT02243358,Phase II Study of Chemo-Radiotherapy in Patients With Resectable and Borderline Resectable Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,Henry Ford Health System,therapeutic,Interventional study
NCT02245217,Multi-Tracer PET Prediction and Assessment of Response to Gemcitabine in Pancreatic Cancer Patients,INTERVENTIONAL,NA,COMPLETED,University of Utah,therapeutic,Interventional study
NCT02261714,Antigen-specific Cancer Immunotherapy (TG01) and Gemcitabine as Adjuvant Therapy in Resected Pancreatic Cancer,INTERVENTIONAL,PHASE1,COMPLETED,Targovax ASA,therapeutic,Interventional study
NCT02269683,Robotic vs. Laparoscopic Distal Pancreatectomy for Pancreatic Cancer,INTERVENTIONAL,NA,WITHDRAWN,Technische Universität Dresden,therapeutic,Interventional study
NCT02272738,A Study of Chemoradiotherapy Using Gem Plus Nab-paclitaxel for Pancreatic Cancer,INTERVENTIONAL,PHASE1,COMPLETED,Osaka Medical Center for Cancer and Cardiovascular Diseases,therapeutic,Interventional study
NCT02289898,"Study of Gemcitabine, Abraxane® Plus Placebo Versus Gemcitabine, Abraxane® Plus 1 or 2 Truncated Courses of Demcizumab in Subjects With 1st-Line Metastatic Pancreatic Ductal Adenocarcinoma",INTERVENTIONAL,PHASE2,COMPLETED,"OncoMed Pharmaceuticals, Inc.",therapeutic,Interventional study
NCT02301143,Phase 2 Nab® -Paclitaxel (Abraxane®) Plus Gemcitabine in Subjects With Locally Advanced Pancreatic Cancer (LAPC),INTERVENTIONAL,PHASE2,COMPLETED,Celgene,therapeutic,Interventional study
NCT02309632,Pancreatic Cancer Screening of High-Risk Individuals in Arkansas,INTERVENTIONAL,NA,WITHDRAWN,University of Arkansas,therapeutic,Interventional study
NCT02324543,Study of Gemcitabine/Taxotere/Xeloda (GTX) in Combination With Cisplatin and Irinotecan in Subjects With Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE1,COMPLETED,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,therapeutic,Interventional study
NCT02329717,Efficacy and Safety Study of PBI-05204 in Patients With Stage IV Metastatic Pancreatic Adenocarcinoma,INTERVENTIONAL,PHASE2,UNKNOWN,"Phoenix Biotechnology, Inc",therapeutic,Interventional study
NCT02332863,Comparison of Back-loaded vs Preloaded Fiducial Needles in EUS-guided Fiducial Marker Placement in Pancreatic Cancer.,INTERVENTIONAL,NA,COMPLETED,"University of Colorado, Denver",therapeutic,Interventional study
NCT02333409,Acupuncture for Pain Control in Patients With Inoperable Pancreatic Cancer,INTERVENTIONAL,NA,TERMINATED,Chinese University of Hong Kong,therapeutic,Interventional study
NCT02336087,"Gemcitabine Hydrochloride, Paclitaxel Albumin-Stabilized Nanoparticle Formulation, Metformin Hydrochloride, and a Standardized Dietary Supplement in Treating Patients With Pancreatic Cancer That Cannot be Removed by Surgery",INTERVENTIONAL,PHASE1,ACTIVE_NOT_RECRUITING,City of Hope Medical Center,therapeutic,Interventional study
NCT02343835,Anti-Tumor Immunity Induced by IRE of Unresectable Pancreatic Cancer,INTERVENTIONAL,NA,COMPLETED,"Fuda Cancer Hospital, Guangzhou",therapeutic,Interventional study
NCT02345408,Phase 1b Study of CCX872-B in Patients With Pancreatic Adenocarcinoma,INTERVENTIONAL,PHASE1,COMPLETED,Amgen,therapeutic,Interventional study
NCT02347618,Pilot Study of Short-Course Preoperative Stereotactic Body Radiation Therapy for Resectable Pancreatic Cancer,INTERVENTIONAL,NA,COMPLETED,University of Rochester,therapeutic,Interventional study
NCT02351219,FOLFOXIRI as Primary Treatment for Locally Advanced Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,"Azienda Ospedaliero, Universitaria Pisana",therapeutic,Interventional study
NCT02352337,First-line Metastatic Pancreatic Cancer : FOLFIRINOX +/- LV5FU2 in Maintenance Versus Firgem,INTERVENTIONAL,PHASE2,COMPLETED,Federation Francophone de Cancerologie Digestive,therapeutic,Interventional study
NCT02368860,"OXIRI [Oxaliplatin (O), Xeloda (X) and Irinotecan (I)] in Pancreatic Adenocarcinoma",INTERVENTIONAL,PHASE1,COMPLETED,"National Cancer Centre, Singapore",therapeutic,Interventional study
NCT02383433,Regorafenib Plus Gemcitabine in Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE2,TERMINATED,Case Comprehensive Cancer Center,therapeutic,Interventional study
NCT02394535,"Nab-Paclitaxel, Capecitabine, and Radiation Therapy Following Induction Chemotherapy in Treating Patients With Locally Advanced Pancreatic Cancer",INTERVENTIONAL,PHASE1,COMPLETED,M.D. Anderson Cancer Center,therapeutic,Interventional study
NCT02399137,A Phase 2 Study of MM-141 Plus Nab-paclitaxel and Gemcitabine in Front-line Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,Merrimack Pharmaceuticals,therapeutic,Interventional study
NCT02404363,Safety and Efficacy of Clopidogrel in Locally Advanced and Metastatic Pancreatic Adenocarcinoma Treated With Chemotherapy,INTERVENTIONAL,PHASE3,TERMINATED,Assistance Publique - Hôpitaux de Paris,therapeutic,Interventional study
NCT02414100,Patient Derived Cancer Cell Lines in Identifying Molecular Changes in Patients With Previously Untreated Pancreatic Cancer Receiving Gemcitabine Hydrochloride-Based Chemotherapy,OBSERVATIONAL,Unknown,WITHDRAWN,Sidney Kimmel Cancer Center at Thomas Jefferson University,biomarker,Biomarker or molecular study
NCT02416609,Low-dose Radiotherapy Plus Chemotherapy With Gem-based Doublets and Stereotactic Radiotherapy for Advanced Pancreatic Cancer,INTERVENTIONAL,NA,UNKNOWN,Azienda Ospedaliero-Universitaria di Modena,therapeutic,Interventional study
NCT02424279,Invasive Treatment of Pain Associated With Pancreatic Cancer on Different Levels of WHO Analgesic Ladder,INTERVENTIONAL,NA,UNKNOWN,Medical University of Gdansk,therapeutic,Interventional study
NCT02428270,A Study of GSK2256098 and Trametinib in Advanced Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,"University Health Network, Toronto",therapeutic,Interventional study
NCT02436668,"Study of Ibrutinib vs Placebo, in Combination With Nab-paclitaxel and Gemcitabine, in the First Line Treatment of Patients With Metastatic Pancreatic Adenocarcinoma (RESOLVE)",INTERVENTIONAL,PHASE3,COMPLETED,Pharmacyclics LLC.,therapeutic,Interventional study
NCT02440958,Modified FOLFIRINOX for Gemcitabine Refractory Pancreatic Cancer: A Phase II Multicenter Trial,INTERVENTIONAL,PHASE2,COMPLETED,Yonsei University,therapeutic,Interventional study
NCT02442323,A Pilot Study of a Home-Based Walking Intervention for Pancreatic Cancer Patients,INTERVENTIONAL,NA,COMPLETED,Fox Chase Cancer Center,therapeutic,Interventional study
NCT02451384,According CTC to Compare the Influences of Different Methods to Remove the PDAC,INTERVENTIONAL,NA,UNKNOWN,Shanghai Zhongshan Hospital,therapeutic,Interventional study
NCT02454140,Stereotactic Body Radiotherapy Dose Escalation in Pancreatic Cancer,INTERVENTIONAL,NA,COMPLETED,"University of California, San Diego",therapeutic,Interventional study
NCT02456051,Pancreatic Cancer Can be Detected by Adrenomedullin in New Onset Diabetes Patients,OBSERVATIONAL,Unknown,TERMINATED,University of Roma La Sapienza,biomarker,Biomarker or molecular study
NCT02468557,Study of Single Agent Idelalisib Followed by Idelalisib in Combination With Chemotherapy in Adults With Metastatic Pancreatic Ductal Adenocarcinoma,INTERVENTIONAL,PHASE1,TERMINATED,Gilead Sciences,therapeutic,Interventional study
NCT02487277,"PEGPH20, Gemicitabine and Nab-Paclitaxel for Pancreatic Ductal Adenocarcinoma",INTERVENTIONAL,PHASE2,TERMINATED,Andrew Ko,therapeutic,Interventional study
NCT02506842,Second-Line Adjuvant Therapy With Nab-Paclitaxel Plus Gemcitabine Versus Oxaliplatin Plus Folinic Acid and Fluorouracil for Gemcitabine-Refractory Pancreatic Cancer After Curative Resection,INTERVENTIONAL,PHASE3,UNKNOWN,Fudan University,therapeutic,Interventional study
NCT02514421,Evaluation of Safety and Efficacy of Electrochemotherapy in the Treatment of Pancreatic Adenocarcinoma,INTERVENTIONAL,PHASE1,COMPLETED,"The University of Texas Health Science Center, Houston",therapeutic,Interventional study
NCT02529579,Safety and Efficacy Evaluation of iAPA-DC/CTL Combined Gemcitabine Therapy on Advanced Pancreatic Cancer,INTERVENTIONAL,PHASE1,UNKNOWN,Changhai Hospital,therapeutic,Interventional study
NCT02548169,Dendritic Cell Vaccine and Chemotherapy for Patients With Pancreatic Cancer,INTERVENTIONAL,PHASE1,TERMINATED,Baylor Research Institute,therapeutic,Interventional study
NCT02550327,"Gemcitabine, Nab-Paclitaxel, Cisplatin and Anakinra Treatment on Patients With Pancreatic Cancer",INTERVENTIONAL,EARLY_PHASE1,COMPLETED,Baylor Research Institute,therapeutic,Interventional study
NCT02550847,Evaluation of Prognosis With Integrated MRI/PET in Patients With Pancreatic Cancer,OBSERVATIONAL,Unknown,UNKNOWN,National Taiwan University Hospital,biomarker,Biomarker or molecular study
NCT02555813,Treatment of Pancreatic Cancer With Abraxane,OBSERVATIONAL,Unknown,COMPLETED,Celgene,other,Does not match therapeutic or biomarker criteria
NCT02558868,Second-Line Oxaliplatin and Irinotecan Versus Irinotecan Alone for Gemcitabine and S-1 Refractory Pancreatic Cancer,INTERVENTIONAL,PHASE2,COMPLETED,Zhejiang University,therapeutic,Interventional study
NCT02562716,S1505: Combination Chemotherapy or Gemcitabine Hydrochloride and Paclitaxel Albumin-Stabilized Nanoparticle Formulation Before Surgery in Treating Patients With Pancreatic Cancer That Can Be Removed by Surgery,INTERVENTIONAL,PHASE2,COMPLETED,SWOG Cancer Research Network,therapeutic,Interventional study
NCT02562898,Ibrutinib Combined With Gemcitabine and Nab-Paclitaxel in Patients With Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE1,COMPLETED,Margaret Tempero,therapeutic,Interventional study
NCT02575508,Pan FGFR Kinase Inhibitor BGJ398 and Combination Chemotherapy in Treating Patients With Untreated Metastatic Pancreatic Cancer,INTERVENTIONAL,PHASE1,WITHDRAWN,Roswell Park Cancer Institute,therapeutic,Interventional study
NCT02591082,Intra-Arterial Treatment of Pancreatic Cancer Using the RenovoCath™ RC120 Catheter,OBSERVATIONAL,Unknown,COMPLETED,RenovoRx,other,Does not match therapeutic or biomarker criteria
